chemical_name,representative_casrn,reference_codes,endpoint_count,min_year,max_year
sunflower seed oil sorbitol esters,96690-53-8,ECHA endpoint-availability sample,3,,
1-bromo-3-methoxybenzene,2398-37-0,ECHA endpoint-availability sample,3,,
"N,N'-bis(2,2,6,6-tetramethyl-4-piperidyl)isophthalamide",42774-15-2,ECHA endpoint-availability sample,3,,
(Isocyanatomethyl)(dimethoxy)methylsilane,406679-89-8,ECHA endpoint-availability sample,3,,
"reaction mass of 5-methyl-4,7-dioxa-2-nonanol and 6-methyl-4,7-dioxa-2-nonanol",30025-38-8,ECHA endpoint-availability sample,3,,
"4-trans-Methoxy-4-trans-propyl-[1,1-bicyclohexyl]",97398-80-6,ECHA endpoint-availability sample,3,,
"l-Glutamic acid, N-coco acyl derivs., monosodium salts",68187-32-6,ECHA endpoint-availability sample,3,,
"2,2’-Iminodiethanol, propoxylated",35176-06-8,ECHA endpoint-availability sample,3,,
"Hydrocarbons, C6-rich, hydrotreated light naphtha distillates, solvent-refined",101316-67-0,ECHA endpoint-availability sample,3,,
"potassium sodium 2,2'-ethene-1,2-diylbis[5-({4-anilino-6-[bis(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl}amino)benzenesulfonate]",70942-01-7,ECHA endpoint-availability sample,3,,
"Fatty acids, C16-18(even numbered) and C18-unsatd., 2-ethylhexyl esters",85049-37-2,ECHA endpoint-availability sample,3,,
"Fatty acids, C16-18 (even numbered), methyl ester",85586-21-6,ECHA endpoint-availability sample,3,,
"Aluminum, benzoate C16-18-fatty acids complexes",94166-87-7,ECHA endpoint-availability sample,3,,
"Alcohols, C9-11-branched and linear",85711-26-8,ECHA endpoint-availability sample,3,,
"Distillates (petroleum), steam-cracked, C5-12 fraction",68477-53-2,ECHA endpoint-availability sample,3,,
"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, reaction products with 4-[(4-aminophenyl)azo]benzenesulfonic acid, reduced, oxidized, potassium sodium salts",90218-39-6,ECHA endpoint-availability sample,3,,
"Petroleum gases, liquefied, sweetened",68476-86-8,ECHA endpoint-availability sample,3,,
"Aromatic hydrocarbons, distn. residues, naphthalene-rich",98072-36-7,ECHA endpoint-availability sample,3,,
"Phosphorodithioic acid, mixed O,O-bis(6-methylheptyl and sec-butyl) esters, zinc salts",93819-94-4,ECHA endpoint-availability sample,3,,
"Heptadecanol, branched and linear",90388-00-4,ECHA endpoint-availability sample,3,,
"(E)-1,3,3-trimethyl-2-((2-methyl-2-p-tolylhydrazono)methyl)-3H-indolium chloride",68134-38-3,ECHA endpoint-availability sample,3,,
"Fatty acids, C16-18, reaction products with diethanolamine",91032-08-5,ECHA endpoint-availability sample,3,,
"Gases (petroleum), deisobutanizer tower overheads",68477-87-2,ECHA endpoint-availability sample,3,,
"Copper, [29H,31H-phthalocyaninato(2-)-kN29,kN30,kN31,kN32]-, [[3-(dimethylamino)propyl]amino]sulfonyl derivs., acetates",90295-19-5,ECHA endpoint-availability sample,3,,
"2-hexyl decanoic acid [4-(6-tert-butyl-7-chloro-1H- pyrazolo[1,5-b][1,2,4] triazol-2-yl) phenylcarbamoyl] methylester",379268-96-9,ECHA endpoint-availability sample,3,,
"N-(3-ethoxy-3-oxopropyl)-N-(2-methylpropyl)-β-alanine, ethyl ester",88488-91-9,ECHA endpoint-availability sample,3,,
{[3-Acetamido-4-(2-hydroxy-4-nitrophenylazo)phenyl]imino}diethylene diacetate,371921-62-9,ECHA endpoint-availability sample,3,,
"2,3,6-trimethylphenol",2416-94-6,ECHA endpoint-availability sample,3,,
"1,1´-Decamethylen-bis[1,4-dihydro-4-(octylimino)pyridine]-dihydrochloride",70775-75-6,ECHA endpoint-availability sample,3,,
"(1-methylethylidene)di-4,1-phenylene tetraphenyl diphosphate",5945-33-5,ECHA endpoint-availability sample,3,,
"Phosphoric acid, decyl octyl ester",68186-45-8,ECHA endpoint-availability sample,3,,
"4-(1,1,3,3-tetramethylbutyl)-N-[4-(1,1,3,3-tetramethylbutyl)phenyl]aniline",15721-78-5,ECHA endpoint-availability sample,3,,
"3-(pentanoyloxy)-2,2-bis[(pentanoyloxy)methyl]propyl valerate (non-preferred name)",15834-04-5,ECHA endpoint-availability sample,3,,
"Aromatic hydrocarbons, C7-8, ethylene-manuf.-by-product",90989-43-8,ECHA endpoint-availability sample,3,,
Rezolyn,799275-41-5,ECHA endpoint-availability sample,3,,
"tri-esters of octanoic acid and decanoic acid with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol",91050-89-4,ECHA endpoint-availability sample,3,,
"2,2-bis(methylthio)propane",6156-18-9,ECHA endpoint-availability sample,3,,
"Reaction product of poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[(1-oxo-2-propenyl)oxy]-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1) and N-ethylethanamine",159034-91-0,ECHA endpoint-availability sample,3,,
A complex mixture resulting from the transesterification of marine oil with ethanol and separated by distillation.,91051-05-7,ECHA endpoint-availability sample,3,,
"sodium 2-[7-(diethylamino)-2-oxo-2H-chromen-3-yl]-5-sulfamoyl-2,3-dihydro-1,3-benzoxazole-2-sulfonate",93859-32-6,ECHA endpoint-availability sample,3,,
"Distillates (petroleum), straight-run light",68410-05-9,ECHA endpoint-availability sample,3,,
"2-(1-Methyl-1-phenylethyl)-4-(1,1,3,3-tetramethylbutyl)-6-(benzotriazol-2-yl)phenol;2-(2-Hydroxy-3-a-cumyl-5-tert-octylphenyl)-2H-benzotriazole",73936-91-1,ECHA endpoint-availability sample,3,,
Copper(I) sulphide,22205-45-4,ECHA endpoint-availability sample,3,,
"3-(4,4-dimethoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea, monosodium salt",596120-00-2,ECHA endpoint-availability sample,3,,
"Gases (petroleum), catalytic cracked overheads",68409-99-4,ECHA endpoint-availability sample,3,,
"N,N-dimethyl-C16-18-(even numbered)-alkyl-1-amines",68390-97-6,ECHA endpoint-availability sample,3,,
"Fatty acids, C9-13-neo-, copper salts",91031-79-7,ECHA endpoint-availability sample,3,,
"2,2',2''-nitrilotriacetic acid - 2-aminoethanol (1:3)",94134-01-7,ECHA endpoint-availability sample,3,,
Copolymer of neodecanoic acid oxiranylmethyl ester and phosphorous acid,157348-58-8,ECHA endpoint-availability sample,3,,
